"","NR_Name","NR_ID","sex","generation","father","mother","foster","gestational_diet","nursing_diet","weanling_diet","majority_diet","overall_diet","birth_date","death_date","litter_size","litter_order","notes","rbg100","rbg120","rbg140","rbg200","rbg300"
"651","T1544M",1548,"M",12,"T1154M","T1298F",NA,"Rab","Rab","Rab","Rab","Rab",2021-09-16,2021-12-30,5,1,"Male descendent of T1154M",NA,NA,NA,NA,NA
"652","T1545M",1549,"M",12,"T1154M","T1298F",NA,"Rab","Rab","Rab","Rab","Rab",2021-09-16,2021-12-30,5,1,"Male descendent of T1154M",NA,NA,NA,NA,NA
"653","T1546M",1550,"M",12,"T1154M","T1298F",NA,"Rab","Rab","Rab","Rab","Rab",2021-09-16,2021-12-30,5,1,"Male descendent of T1154M",NA,NA,NA,NA,NA
"654","T1547F",1551,"F",12,"T1154M","T1298F",NA,"Rab","Rab","Rab","Rab","Rab",2021-09-16,2022-06-21,5,1,"daughter of T1298F; Put together with 1550 and 1551",NA,NA,NA,NA,NA
"655","T1548F",1552,"F",12,"T1166M","T1143F",NA,"Rab","Rab","Rab","Rab","Rab",2021-09-17,2022-03-04,4,2,NA,NA,NA,NA,NA,NA
"656","T1549F",1553,"F",12,"T1166M","T1143F",NA,"Rab","Rab","Rab","Rab","Rab",2021-09-17,2022-02-24,4,2,NA,NA,NA,NA,NA,NA
"657","T154F",316,"F",2,"T22M","T37F",NA,"Rod","Rod","Rod","Rod","Rod",2015-09-07,2016-04-22,1,1,"onset >32wks",8,28,28,28,NA
"658","T1550M",1554,"M",12,"T1166M","T1143F",NA,"Rab","Rab","Rab","Rab","Rab",2021-09-17,2021-12-30,4,2,NA,NA,NA,NA,NA,NA
"659","T1551M",1555,"M",12,"T1166M","T1143F",NA,"Rab","Rab","Rab","Rab","Rab",2021-09-17,2021-12-30,4,2,NA,NA,NA,NA,NA,NA
"660","T1552M",1773,"M",13,"T1160M","T1210F",NA,"Rod","Rod","Rab","Rab","Rab",2021-09-18,2022-01-21,4,1,"son of T1160M",NA,NA,NA,NA,NA
"661","T1553M",1774,"M",13,"T1160M","T1210F",NA,"Rod","Rod","Rab","Rab","Rab",2021-09-18,2022-01-21,4,1,"son of T1160M",NA,NA,NA,NA,NA
"662","T1554F",1775,"F",13,"T1160M","T1210F",NA,"Rod","Rod","Rab","Rab","Rab",2021-09-18,2022-02-25,4,1,"daughter of T1210F",NA,NA,NA,NA,NA
"663","T1555F",1776,"F",13,"T1160M","T1210F",NA,"Rod","Rod","Rab","Rab","Rab",2021-09-18,2022-01-10,4,1,"daughter of T1210F",NA,NA,NA,NA,NA
"664","T1556M",1777,"M",13,"T1085M","T1191F",NA,"Rab","Rab","Rod","Rod","Rod",2021-09-19,2022-04-19,5,2,"son of T1085M (LN2)",NA,NA,NA,NA,NA
"665","T1557M",1778,"M",13,"T1085M","T1191F",NA,"Rab","Rab","Rod","Rod","Rod",2021-09-19,2022-06-26,5,2,"son of T1085M (LN2)",8,NA,NA,NA,NA
"666","T1558M",1779,"M",13,"T1085M","T1191F",NA,"Rab","Rab","Rod","Rod","Rod",2021-09-19,2022-06-26,5,2,"son of T1085M (LN2)",NA,NA,NA,NA,NA
"667","T1559F",1780,"F",13,"T1085M","T1191F",NA,"Rab","Rab","Rod","Rod","Rod",2021-09-19,2022-01-10,5,2,"daughter of T1191F; Priority breeder; uncle has early onset diabetes",NA,NA,NA,NA,NA
"668","T155M",317,"M",2,"T24M","T16F",NA,"Rod","Rod","Rod","Rod","Rod",2015-09-09,2016-06-10,2,1,"onset at 16wks; euthanized thin body condition",8,8,8,8,16
